well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,DORCUS,3036H,SM ENERGY CO,UPTON,WCMP B,31.62852732,-102.2314272,31.65107214,-102.2398172,1/9/2014,7647,5/1/2014,15946304,12062000,,DORCUS 3036H,50,1577,0.76,,
4.24614E+13,DORCUS,4236H,SM ENERGY CO,UPTON,WCMP B,31.61722876,-102.2277602,31.60258773,-102.22291,1/16/2014,4837,5/21/2014,10936206,7770000,,DORCUS 4236H,54,1606,0.71,,
4.24614E+13,PEGASUS FIELD UNIT 3,1754H,COG OPERATING LLC,UPTON,WCMP B,31.6461376,-102.1519073,31.62149663,-102.1438513,4/9/2014,8687,10/21/2014,11395676,18028000,,PEGASUS FIELD UNIT 3 1754H,31,2075,1.58,629,4881
4.24614E+13,AMACKER,8418H,COG OPERATING LLC,UPTON,WCMP A,31.39678389,-102.0743375,31.38178899,-102.0691039,6/2/2014,5041,10/14/2014,11772008,12580000,,AMACKER 8418H,56,2496,1.07,,
4.24614E+13,NEAL,658LH,SEM OPERATING CO LLC,UPTON,WCMP B,31.29840556,-101.9220594,31.32084722,-101.9212864,6/1/2014,7097,11/4/2014,10552148,7684000,,NEAL 658LH,35,1083,0.73,,
4.24614E+13,BRITAIN,3134H,SM ENERGY CO,UPTON,WCMP B,31.6297095,-102.2385889,31.61483099,-102.2336093,4/10/2014,4961,7/27/2014,11923825,9408000,,BRITAIN 3134H,57,1896,0.79,,
4.24614E+13,UNIVERSITY `3-14`,17H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.28273874,-101.8420133,31.30420244,-101.8430166,6/30/2014,7167,10/24/2014,7212569,8432000,,UNIVERSITY `3-14` 17H,24,1177,1.17,,
4.24614E+13,XBC GIDDINGS ESTATE,1177H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.50993595,-101.9501578,31.52878916,-101.9565809,7/27/2014,6962,12/21/2014,6927479,6916000,,XBC GIDDINGS ESTATE 1177H,24,993,1,,
4.24614E+13,AMACKER48 UNIT,19H,COG OPERATING LLC,UPTON,WCMP B,31.39366528,-102.0246256,31.37893271,-102.0199387,8/23/2014,5058,12/26/2014,8734719,8706000,,AMACKER48 UNIT 19H,41,1721,1,,
4.24614E+13,UNIVERSITY 178B,18H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP A,31.26045727,-101.7911298,31.28920987,-101.7913112,11/11/2014,9484,3/21/2015,9042281,9438000,,UNIVERSITY 178B 18H,23,995,1.04,,
