Well_UID,WellPadID
42-461402530000,42-461-40253
42-461404250000,42-461-40425
42-461401680000,42-461-40168
42-461404920000,42-461-40491
42-461402120000,42-461-40212
42-461402340000,42-461-40234
42-461403960000,42-461-40388
42-461403300000,42-461-40334
42-461405140000,42-461-40515
42-105415220000,42-105-41521
42-317380920000,42-317-38092
42-105415680000,42-105-41568
42-105420040000,42-105-42003
42-461393880000,42-461-39388
42-105419720000,42-105-41972
42-105420160000,42-105-42015
42-317393750000,42-317-38465
42-173371580000,42-173-37158
42-461398230000,42-461-39823
42-235360720000,42-235-36072
42-383388490000,42-383-38850
42-235362360001,42-235-35634
42-317414090001,42-317-41408
42-329405900100,42-329-40590
42-461408930000,42-461-40891
42-227397220000,42-227-39725
42-329427600000,42-329-42763
42-235363180000,42-235-36323
42-227397290000,42-227-38730
42-329428560000,42-329-42855
42-317418940000,42-317-41328
42-317419020000,42-317-41902
42-317419080000,42-317-41908
42-329429540000,42-329-42952
42-317419410000,42-317-41943
42-227399760000,42-227-39975
42-329430880000,42-329-43088
42-317421670000,42-317-41989
42-033325140000,42-033-32514
42-227401330000,42-227-40134
42-227401680000,42-227-40168
42-227401850000,42-227-40185
42-227402100000,42-227-40201
42-329435220000,42-329-41885
42-317424110000,42-317-42414
42-317424600000,42-317-42462
42-227402570000,42-227-40256
42-227402600000,42-227-40259
42-317424930000,42-317-42495
42-135437160000,42-135-43714
42-227403050000,42-227-40307
42-227403180000,42-227-39206
42-329437210000,42-329-43360
42-329437540000,42-329-43752
42-227404090000,42-227-40408
42-329438480000,42-329-43856
42-317427260000,42-317-42730
42-317427480000,42-317-42767
42-105398270100,42-105-39827
42-329355300100,42-329-35530
42-461414460000,42-461-40185
42-003482280000,42-003-48139
42-227406100000,42-227-40610
42-329441440000,42-329-44141
42-461414950000,42-461-39122
42-317431180000,42-317-41292
42-329443470000,42-329-44347
42-317431640000,42-317-43165
42-317431800000,42-317-43180
42-383409180000,42-383-40918
42-317432700000,42-317-43269
42-003473550000,42-003-47355
42-105422790000,42-105-42280
42-461350250000,42-461-35025
42-105421850000,42-105-42185
42-329414760000,42-329-41476
42-461403420000,42-461-40342
42-003474980000,42-003-47492
42-317406890000,42-317-40686
42-329415960000,42-329-41595
42-329416460000,42-329-41643
42-173375740000,42-173-37573
42-329416570000,42-329-41661
42-383398660000,42-383-39866
42-317408200000,42-317-40820
42-329417290000,42-329-41742
42-227391390000,42-227-38904
42-227391590000,42-227-39157
42-383399210000,42-383-39315
42-329417790000,42-329-41778
42-227391890000,42-227-38798
42-173376910000,42-173-37693
42-227392200000,42-227-39219
42-461406470000,42-461-40647
42-317409180000,42-317-40799
42-227392400000,42-227-39240
42-461406590000,42-461-40657
42-329419530000,42-329-41953
42-317410300000,42-317-41028
42-227393170000,42-227-39316
42-383400440000,42-383-40044
42-329420230000,42-329-42025
42-329420990000,42-329-39871
42-227393850000,42-227-38118
42-329421480000,42-329-42296
42-383400610000,42-383-40064
42-329421470000,42-329-42143
42-329421620000,42-329-42162
42-227394090000,42-227-39410
42-383400760000,42-383-40077
42-003476970000,42-003-47694
42-461407410000,42-461-40741
42-235362440000,42-235-36160
42-317412700000,42-317-41138
42-227394930000,42-227-39493
42-329423050000,42-329-42299
42-227395230000,42-227-39475
42-227395210000,42-227-39521
42-383401750000,42-383-40173
42-317413280000,42-317-41328
42-173378310000,42-173-37779
