API_UID,ClayVolume_PCT
42-461404250000,0.260083973
42-173374950000,0.336715217
42-227389020000,0.285475216
42-329405600000,0.362701364
42-383397060000,0.306517668
42-461404850000,0.264481665
42-235356850000,0.371922149
42-383389070000,0.314378317
42-461389100000,0.214319844
42-105416510000,0.345787049
42-329407030000,0.309911263
42-235355760000,0.309020773
42-235356360000,0.344550422
42-329399790000,0.295636594
42-317396090000,0.2892613
42-329395200000,0.297949489
42-173362850000,0.381317481
42-173365950000,0.277767546
42-173365110000,0.397842047
42-105415940000,0.361316854
42-383390870000,0.319442521
42-235352530000,0.305917951
42-105416650000,0.331359642
42-235358350000,0.329814706
42-235351090000,0.318616269
42-105415920000,0.361316824
42-105416640000,0.340307416
42-105417200000,0.338059591
42-235359220000,0.319916857
42-329404400000,0.231061064
42-461401170000,0.32105622
42-003467190000,0.266399687
42-461398120000,0.312358646
42-461391600000,0.285245905
42-329389970000,0.2904225
42-329406610000,0.23916135
42-383387130000,0.379371848
42-105414630000,0.389973276
42-329407220000,0.292338847
42-461397620000,0.305205841
42-173368560000,0.320718185
42-383378070000,0.365830155
42-329407080000,0.228692337
42-003470670000,0.246744893
42-329414590001,
42-227360490001,
42-003470620000,0.23203419
42-105422250100,
42-173374700000,0.265922672
42-317405520000,0.303637499
42-329412850000,0.214038564
42-329413650000,0.295086401
42-461403510000,0.197487098
42-461388860000,0.216214956
42-461401130000,0.301043255
42-235349000000,0.299302499
42-383383290000,0.293534605
42-383392050000,0.3055691
42-383394600000,0.305647506
42-317394590000,0.300416208
42-105423450000,0.328483976
42-173374360000,0.335378102
42-329403100000,0.303855215
42-329410310000,0.212756927
42-329414620000,0.29031742
42-383397300000,0.258507219
42-383397930000,0.313274366
42-235351500000,0.294908934
42-383382910000,0.29793145
42-461391070000,0.305629558
42-383377770000,0.293553865
42-383376640000,0.2604599
42-383393930000,0.322694513
42-235352550000,0.302745308
42-317428320000,0.284780563
42-329441060000,0.304687819
42-329441450000,0.305002759
42-329442820000,0.334721263
42-329443150000,0.251833253
42-317431630000,0.296970511
42-329443850000,0.27130065
42-003482710000,0.32270273
42-003482890000,0.3023797
42-383409160000,0.280954735
42-329445170000,0.302774116
42-227408420000,0.161781895
42-461416430000,0.190806826
42-135437840000,0.136494382
42-329446150000,0.19721826
42-329401840000,0.222713701
42-329400450000,0.300707875
42-317389380000,0.338683684
42-235356040000,0.284820444
42-383380860100,
42-235358230000,0.296036109
42-105420500000,0.30332729
42-461388780000,0.306387962
42-235354000000,0.282667203
42-235353170000,0.311598036
42-383393640000,0.351963442
42-105423370000,0.388143261
42-173374740000,0.30345522
42-105415520000,0.334031024
42-461401540000,0.3017237
42-329398770000,0.241667513
42-173373110000,0.321391042
42-173375200000,0.278832601
42-173373890000,0.294836321
42-227389060000,0.259432341
42-317403200000,0.274573972
42-227387890000,0.302966958
42-227389130000,0.199392973
42-227389230000,0.294062173
42-105422790000,0.314836381
42-317404650000,0.284720889
42-105415220000,0.342495385
42-317380920000,0.374768164
42-105415680000,0.332012864
42-105420040000,0.311887915
42-461393880000,0.307249357
42-383394790000,0.260563951
42-461385190000,0.188595466
42-135431970000,0.175528251
42-383395550000,0.317536923
42-173372050000,0.367503419
42-235359970000,0.350973231
42-317401970000,0.315916842
42-317403140000,0.3162228
42-105418420000,0.345461157
42-105417910000,0.34585005
42-235357970000,0.314325071
42-317402790000,0.297313202
42-383380900000,0.375381169
42-461401730000,0.188747142
42-235352510000,0.305603581
42-461391380000,0.252170988
42-461400910000,0.158953958
42-383383710000,0.295062664
42-329401870000,0.278101702
42-227382600000,0.237763947
42-105419370000,0.322378276
42-329403520000,0.269011309
42-383380860000,0.302962435
42-383396050000,0.275435336
42-105423680000,0.317756607
42-235361780000,0.315689671
42-329416110000,0.266021874
42-383398610000,0.348059574
42-329416730000,0.335846677
42-227391450000,0.216410191
42-383399040000,0.336214994
42-317408740000,0.292339773
42-227391640000,0.25521144
42-173376630000,0.29695206
42-461406340000,0.267306301
42-173376820000,0.30917785
42-329418690000,0.254942173
42-383399670000,0.320495489
42-227392340000,0.271523116
42-461406800000,0.138475983
42-317410600000,0.306205279
42-461407090000,0.269544862
42-329420200000,
42-227393760000,0.278360929
42-329421490000,0.246609773
42-461407420000,0.303883078
42-329422220000,0.316857461
42-227394460000,0.298753806
42-329422570000,0.323241307
42-329421050000,0.288536903
42-329422920000,0.254245562
42-227395270000,0.293296723
42-461407870000,0.272280789
42-383401910000,0.292257309
42-461393020000,0.23345227
42-383375630000,0.334651303
42-383402700000,0.30654014
42-461408770000,0.256967951
42-317414820000,0.32025859
42-235362930000,0.318909187
42-383403250000,0.291081305
42-317415590000,0.305679917
42-329425690000,0.25547182
42-317415750000,0.315074812
42-317416230000,0.320033254
42-461408930000,0.25590423
42-227397220000,0.291913873
42-329427600000,0.252045956
42-235363180000,0.311623625
42-227397290000,0.301021251
42-329428560000,0.271330027
42-317418940000,0.283162833
42-317419020000,0.311542326
42-317419080000,0.300188102
42-329429540000,0.309692646
42-317419410000,0.296466822
42-227399760000,0.306298924
42-329430880000,0.289060602
42-317421670000,0.33781672
42-033325140000,0.301650837
42-227401330000,0.247543215
42-227401680000,0.315428628
42-227401850000,0.281886499
42-227402100000,0.322601761
42-329435220000,0.269169031
