Well_ID,TotalOrganicCarbon_WTPCT
42-329427640000,1.402097848
42-227397710000,0.8614972
42-173379680000,1.691495
42-329428850000,1.756224196
42-329428780000,1.9415896
42-227397970000,1.615714821
42-461410010000,2.039360244
42-461410300000,1.391719013
42-461410340000,1.621079652
42-329429930000,2.022658433
42-227399190000,1.466887682
42-329429430000,1.827097268
42-033325040000,2.035958534
42-317420250000,1.724741141
42-329430410000,1.99963625
42-329430620000,2.007258475
42-383405020000,2.227620509
42-329430980000,1.514436017
42-227399930000,1.321152435
42-329431030000,2.081804884
42-235363840000,1.418080068
42-329431150000,1.513880071
42-317420890000,2.0011969
42-173381100000,2.333681224
42-461410690000,1.951899612
42-329431550000,2.192346938
42-383405460000,1.5627106
42-235363980000,1.805028989
42-317421560000,1.663627687
42-329431920000,1.897002604
42-329431850000,1.881886442
42-461411230000,1.32851115
42-329432280000,1.624330819
42-461411440000,1.157946505
42-317422420000,1.291530661
42-227401510000,2.6121965
42-227401500000,1.366269585
42-383406180000,2.173348227
42-329433450000,1.432957039
42-329433030000,1.762040822
42-329434010000,2.0817637
42-461412140000,1.494256476
42-383406570000,2.025348336
42-329434640000,1.595690691
42-461412230000,1.73325776
42-317423580000,2.442683877
42-329434120000,2.190658169
42-383406890000,1.748770767
42-227402520000,1.78648898
42-317424130000,1.845079282
42-227402310000,1.463762145
42-317424650000,2.101141058
42-317424220000,1.458604162
42-173381870000,1.72695099
42-329436180000,1.7309384
42-329436120000,1.334304163
42-317424950000,1.448390948
42-227402980000,2.033975609
42-329436290000,1.389756521
42-461412980000,1.933185266
42-461412920000,1.473126937
42-227403210000,2.152542257
42-227403570000,1.386915818
42-173382260000,1.102663081
42-461413350000,1.413122364
42-003481860000,1.944757845
42-317426360000,2.744163906
42-317426220000,2.088692913
42-227404220000,0.613801361
42-461413760000,1.288598992
42-329439960000,1.787199359
42-317428280000,1.7130687
42-383388490100,1.882580629
42-105414870000,1.8817912
42-173374700000,1.42956243
42-317405520000,2.2701181
42-329412850000,0.787261863
42-329413650000,1.54217911
42-383388480000,1.841214
42-383392360000,1.6177648
42-461403510000,0.963156471
42-105423450000,1.63599528
42-173374360000,2.208509145
42-329403100000,1.819954425
42-329410310000,1.0640575
42-329414620000,1.6957684
42-383397300000,1.068462594
42-383397930000,1.910939457
42-461388860000,0.962781329
42-461401130000,2.437219777
42-235349000000,2.102269012
42-383383290000,2.054854459
42-383392050000,1.706753773
42-383394600000,1.982311713
42-317394590000,2.176311183
42-235351500000,1.434858013
42-383382910000,1.622747971
42-461391070000,2.3700552
42-383377770000,2.064738973
42-383376640000,1.688619247
42-383393930000,2.232915511
42-235352550000,2.018771308
42-003470620000,1.7021088
42-105419720000,2.100038389
42-105420160000,1.746654607
42-317393750000,1.534707388
42-173371580000,1.091592189
42-461398230000,2.2948628
42-235360720000,1.722757708
42-235357600000,1.626108076
42-383384480000,2.13633635
42-329401390000,1.8453456
42-383393330000,1.637850865
42-105420340000,1.566442967
42-383387020000,1.966101023
42-105419560000,1.880945624
42-227385420000,0.8086459
42-461402170000,1.566590433
42-105421850000,1.4825636
42-329414760000,0.923034483
42-461403420000,1.747756724
42-003474980000,1.681974785
42-317406890000,1.517988613
42-329415960000,1.805793933
42-329416460000,1.796400155
42-173375740000,2.437267755
42-329416570000,1.541952006
42-383398660000,1.986596747
42-317408200000,1.341495938
42-329417290000,1.58584886
42-227391390000,1.404481543
42-227391590000,1.4164316
42-383399210000,2.362335383
42-329417790000,1.507418324
42-227391890000,2.123703429
42-173376910000,2.238464695
42-227392200000,1.65555128
42-461406470000,1.486109535
42-317409180000,1.65987501
42-227392400000,1.709701065
42-461406590000,1.323014557
42-329419530000,1.64533096
42-003476520000,0.5786203
42-317410300000,1.960877955
42-227393170000,2.030754212
