UID,Calc_Dist
42-173373650000,1103.101705
42-173373770000,386.1296717
42-173373900000,623.1375634
42-173374100000,646.3776635
42-173374180000,997.9199147
42-173374740000,910.0883543
42-173374760000,1357.774158
42-173374850000,648.3279276
42-173374950000,524.1323859
42-173375190000,587.2300755
42-173375470000,384.9935893
42-173375480000,1121.750391
42-173375920000,1578.413074
42-173376790000,582.4689395
42-173377000000,675.7863117
42-173377190000,662.8399631
42-173377440100,500.0649505
42-173377460200,590.0280681
42-173377700000,328.5288333
42-173378790000,352.1634947
42-173379510000,478.9814993
42-173379770000,500.982889
42-173380310000,667.2863473
42-173380480000,1297.547596
42-173381030000,482.1544472
42-173381570000,352.3523012
42-173381580000,897.9782324
42-173381720000,325.149476
42-173381980000,1216.418075
42-173381990000,1196.379471
42-173382530000,848.0576241
42-105421320000,1958.357
42-227404370000,674.1322722
42-227404380000,623.1030866
42-317424820000,1791.0799
42-135436330000,661.7255777
42-445322020000,1470.853772
42-461352900000,1554.983338
42-461359170000,820.6860455
42-461368860000,1468.207877
42-461343770100,1433.999131
42-461343800000,2347.286678
42-461343930100,1209.872305
42-461357020000,1418.937135
42-461384270000,698.0126016
42-461385190000,564.7583409
42-461384580000,836.3022866
42-461384990000,745.9667258
42-461385170000,448.0213932
42-461387080000,961.6946855
42-461388040000,840.9824316
42-461388590000,745.8675597
42-173341870000,2249.068165
42-173345830000,1982.576239
42-173362260000,745.9760174
42-173363500000,2107.991455
42-173364130000,1257.837272
42-173364920000,1508.931741
42-173365370000,1044.741819
42-173366950000,684.1883743
42-173366990000,663.693891
42-173367300000,633.2937672
42-173368250000,1313.408027
42-173368330000,1752.444615
42-173368490000,400.2664835
42-173368560000,396.2744778
42-173368770000,592.1780321
42-173369510000,545.1944214
42-173369520000,1039.569425
42-173370330000,1143.07926
42-173371060000,727.1746344
42-173372050000,687.1329403
42-173372060000,926.4730127
42-173372400000,1075.723843
42-173372780000,818.4193571
42-173373590000,902.554455
42-173374130000,744.3943478
42-173374210000,306.4908068
42-173374300000,672.1210452
42-173374800000,670.8443194
42-173375010000,1282.387611
42-173375390000,605.2193588
42-173375620000,418.926795
42-173375740000,723.5285134
42-173376090000,513.1496526
42-173376570000,327.9882305
42-173376610000,894.532994
42-173377580000,921.4114942
42-173378340000,325.8170975
42-173378690000,998.0355465
42-173378850000,718.0265516
42-173378940000,1026.562339
42-173380010000,679.3753334
42-173380070000,501.9487507
42-173380110000,1106.961719
42-173380300000,661.2583007
42-173380320000,662.5666234
42-173380590000,400.0543022
42-173380790000,656.8787712
42-173381000000,322.7815583
42-173381020000,379.834959
42-173381230000,454.9569061
42-173381250000,456.1893136
42-173381350000,459.4756586
42-173381780000,1311.268988
42-173381850000,1359.016818
42-173381880000,1222.343184
42-173382330000,880.8571303
42-227376910000,2480.471847
42-227382130000,654.1204196
42-227383490000,1353.278239
42-227384160000,509.7513662
42-227384550000,421.3672146
42-227384560000,309.3826961
42-227385910000,1238.369634
42-227386010000,595.1437951
42-227386540000,1506.794031
42-227386740000,481.5362421
42-227386750000,1618.740605
42-227388090000,1013.021581
42-227388720000,626.8165329
42-227389270000,359.4593893
42-227389550000,1016.468698
42-227389800000,856.8852302
42-227390250000,1287.476234
42-227390490000,597.35535
42-227390940000,977.9717936
42-227391400000,680.1035484
42-227391810000,1366.506225
42-227391900000,923.5237998
42-227391920000,654.8537498
42-227392250000,1326.045849
42-227392470000,680.8615799
42-227392570000,684.6458901
42-227392620000,625.7431662
42-227392980000,673.491821
42-227393140000,1639.507881
42-227393400000,653.2272658
42-227393460000,523.02919
42-227393510000,721.3840004
42-227393770000,652.8931999
42-227393850000,850.5971687
42-227393940000,331.1148086
42-227394030000,644.8232285
42-227394090000,634.135363
42-227394580000,680.3478135
42-227394910000,816.8565507
42-227394920000,658.4518427
42-227395180000,671.449966
42-227395230000,638.554823
42-227395260000,593.3150026
42-227395360000,688.1294381
42-227395430000,687.6093675
42-227395660000,662.0882366
42-227395960000,536.6538368
42-227397110000,394.8308134
42-227397180000,797.2704204
42-227397340000,328.0422881
42-227397520000,603.4451048
42-227397550000,618.7560891
42-227397990000,863.5064444
42-227398100000,582.2768588
42-227398770000,385.4278445
42-227398780000,912.1484674
42-227398830000,1603.259814
42-227399200000,1002.492511
42-227399220000,820.2166354
42-227399520000,663.7180434
42-227399590000,435.5665422
42-227399780000,651.7066989
42-227400080000,395.9272872
42-227400210000,1377.315167
42-227400220000,691.5095833
42-227400250000,1057.59549
42-227400890000,644.3151332
42-227400970000,605.950069
42-227401050000,813.7291296
42-227401280000,1036.747322
42-227401620000,1400.030897
42-227401710000,731.4579283
42-227402150000,989.5731188
42-227402160000,954.1994451
42-227403190000,1549.06546
42-227403240000,596.0122407
42-227403260000,538.852942
42-227403420000,334.3715259
42-227404010000,424.3484458
42-227404190000,764.8187683
42-227405050000,654.0437907
42-227405080000,1320.58804
42-227405090000,1320.468757
42-227405530000,773.5355369
42-227405600000,1801.097242
