API_UWI,Unformatted_API_UWI_14,Latitude,Longitude,Latitude_BH,Longitude_BH
42-461-40880,4.24614E+13,31.564213,-101.942453,31.59169958,-101.9512429
42-227-39630,4.22274E+13,32.499684,-101.615869,32.52545448,-101.6233846
42-329-42537,4.23294E+13,31.670978,-102.255491,31.69811479,-102.264749
42-165-38720,4.21654E+13,32.90014,-102.716,32.88607565,-102.7158034
42-329-42568,4.23294E+13,31.834354,-101.820765,31.86129477,-101.8270679
42-317-41484,4.23174E+13,32.149723,-101.966838,32.17511179,-101.9772094
42-173-37919,4.21734E+13,31.786577,-101.704068,31.76484983,-101.6955156
42-317-41449,4.23174E+13,32.473444,-101.790386,32.44620799,-101.7815098
42-317-41508,4.23174E+13,32.348262,-101.752401,32.37580659,-101.7594651
42-383-40309,4.23834E+13,31.290712,-101.66675,31.2595022,-101.668606
42-329-42636,4.23294E+13,31.906143,-102.172903,31.8806568,-102.1682868
42-329-42643,4.23294E+13,31.817304,-102.122468,31.79520541,-102.1178432
42-235-36300,4.22354E+13,31.20251354,-101.2391529,31.17430847,-101.2398529
42-461-40929,4.24614E+13,31.566818,-101.924301,31.53940663,-101.9154125
42-317-41625,4.23174E+13,32.25932,-102.066852,32.23350972,-102.0600863
42-329-42738,4.23294E+13,31.896717,-102.010308,31.92312868,-102.0190056
42-227-39724,4.22274E+13,32.293904,-101.6602,32.32088362,-101.6694973
42-329-42787,4.23294E+13,31.82143611,-102.0791556,31.84760538,-102.0858389
42-329-42754,4.23294E+13,31.971555,-101.970395,31.94440704,-101.9612738
42-227-39755,4.22274E+13,32.310218,-101.606944,32.33305759,-101.6140522
42-329-42847,4.23294E+13,32.074989,-102.215725,32.08809821,-102.2193426
42-383-40407,4.23834E+13,31.508088,-101.4021,31.53582083,-101.3995949
42-329-42895,4.23294E+13,31.7102153,-102.0336418,31.68076862,-102.0248847
42-329-42914,4.23294E+13,32.057738,-102.283456,32.03029686,-102.2722845
42-329-42911,4.23294E+13,32.067624,-101.927103,32.04477285,-101.9201703
42-461-40986,4.24614E+13,31.634031,-102.190289,31.61185601,-102.1845543
42-329-42930,4.23294E+13,31.684492,-102.018813,31.65400092,-102.0103418
42-329-42916,4.23294E+13,31.729071,-102.180667,31.7060569,-102.1724892
42-317-41922,4.23174E+13,32.255314,-101.995098,32.23399618,-101.9857374
42-317-41885,4.23174E+13,32.354346,-101.949928,32.33452123,-101.9426698
42-227-39910,4.22274E+13,32.452443,-101.660743,32.47179658,-101.6674765
42-173-38063,4.21734E+13,31.783914,-101.712553,31.79649826,-101.7180875
42-329-43096,4.23294E+13,31.695934,-102.080022,31.71901077,-102.0870269
42-003-47995,4.20035E+13,32.456593,-102.216703,32.4946393,-102.2276548
42-383-40529,4.23834E+13,31.3758968,-101.3989679,31.4061214,-101.3995448
42-235-36389,4.22354E+13,31.14579,-101.158243,31.17722266,-101.1537582
42-235-36392,4.22354E+13,31.209501,-101.198019,31.2417658,-101.2007978
42-317-42133,4.23174E+13,32.294908,-101.770605,32.32624302,-101.7795818
42-329-43160,4.23294E+13,31.692651,-101.979832,31.66326556,-101.970408
42-317-42058,4.23174E+13,32.228477,-101.714455,32.2552221,-101.7251427
42-329-43167,4.23294E+13,31.695843,-101.96908,31.66594228,-101.9588614
42-173-38094,4.21734E+13,31.853261,-101.601997,31.82701732,-101.5890393
42-227-40053,4.22274E+13,32.401296,-101.297218,32.37632396,-101.2882358
42-329-43188,4.23294E+13,31.69613,-102.01582,31.7258,-102.02518
42-227-40072,4.22274E+13,32.291527,-101.661233,32.26484557,-101.6518071
42-317-42188,4.23174E+13,32.46521,-101.895185,32.43792287,-101.8879217
42-227-40147,4.22274E+13,32.175248,-101.392488,32.14407337,-101.3850398
42-329-43390,4.23294E+13,31.92794884,-102.046756,31.90325463,-102.0419117
42-383-40702,4.23834E+13,31.446284,-101.73709,31.41682118,-101.7281819
42-461-41275,4.24614E+13,31.532118,-102.055625,31.50457885,-102.0470176
42-329-43667,4.23294E+13,31.701057,-101.876142,31.67191788,-101.8682877
42-317-42508,4.23174E+13,32.157685,-101.721657,32.11660177,-101.7086871
42-329-43680,4.23294E+13,31.722813,-102.082955,31.69929053,-102.0758491
42-235-36426,4.22354E+13,31.293694,-100.98225,31.32365296,-100.9812479
42-173-38227,4.21734E+13,31.699351,-101.355072,31.7163914,-101.3583786
42-317-42538,4.23174E+13,32.156369,-101.770658,32.13330226,-101.767114
42-317-42602,4.23174E+13,32.350526,-101.742799,32.38454286,-101.7540954
