,Latitude,Longitude,BH Latitude,BH Longitude
42-003474390000,32.282313,-102.227886,32.31162,-102.236502
42-003474600000,32.282678,-102.226252,32.312086,-102.234439
42-003474610000,32.282646,-102.226393,32.28705041,-102.2277105
42-003474620000,32.13139278,-102.2359242,32.15787692,-102.2425524
42-003474630000,32.13153,-102.23597,32.15774947,-102.242485
42-003474660000,32.289507,-102.249317,32.321551,-102.259536
42-003474670000,32.289473,-102.249457,,
42-003474680000,32.289128,-102.250923,32.321049,-102.261705
42-003474690000,32.289095,-102.251063,32.321061,-102.261617
42-003474710000,32.41518056,-102.2346222,32.45270556,-102.2454472
42-003474720000,32.41515833,-102.2347167,32.45235278,-102.24755
42-003474900000,32.11884028,-102.2293203,32.08827442,-102.2194704
42-003474920000,32.28021938,-102.2265715,32.31202663,-102.23441
42-003474970000,32.280188,-102.2267124,32.31185496,-102.2352992
42-003474980000,32.28015663,-102.2268532,32.31161487,-102.2364988
42-003475030000,32.118708,-102.229278,32.0882988,-102.2194781
42-003475130000,32.14141182,-102.2218612,32.16077917,-102.23062
42-003475140000,32.14144043,-102.2217365,32.16129319,-102.2285261
42-003475150000,32.14227292,-102.2181527,32.16196151,-102.22567
42-003475160000,32.1423018,-102.218028,32.16227845,-102.2243037
42-003475170000,32.14147099,-102.2216126,32.16165096,-102.2269875
42-003475280000,32.18122111,-102.2675147,32.21066234,-102.2772143
42-003475290000,32.18108861,-102.2674722,32.21087802,-102.2762835
42-003475300000,32.15496083,-102.2589283,32.18267387,-102.2673764
42-003475420000,32.28274,-102.225971,32.312065,-102.234404
42-003475540000,32.15509333,-102.2589708,32.18155587,-102.2670188
42-003475670000,32.34997153,-102.2617809,32.322805,-102.255478
42-003475680000,32.349986,-102.261717,32.378653,-102.272852
42-003475690000,32.35,-102.261656,32.378752,-102.272438
42-003475720000,32.22360278,-102.2094711,32.2236015,-102.2097947
42-003475850000,32.39389853,-102.3443597,32.39377066,-102.3440683
42-003475920000,32.45308172,-102.3470127,32.45306488,-102.3469102
42-003476020000,32.4750514,-102.2193002,32.4460871,-102.2098539
42-003476040000,32.41575278,-102.2373667,32.45187636,-102.2496218
42-003476050000,32.41573056,-102.2374611,32.45142222,-102.2516028
42-003476420000,32.28759,-102.257443,32.319619,-102.267784
42-003476430000,32.287556,-102.257583,32.29670249,-102.2606249
42-003476650000,32.40879167,-102.2792833,32.3790249,-102.2729803
42-003476660000,32.40881389,-102.2791889,32.37941111,-102.2709417
42-003476670000,32.40883611,-102.2790972,32.37991389,-102.2687917
42-003476680000,32.40885556,-102.2790028,32.38040873,-102.26673
42-003476940000,32.4578694,-102.2134944,32.49397243,-102.2268674
42-003476950000,32.45789167,-102.2134,32.49465278,-102.2253556
42-003476960000,32.45791389,-102.2133056,32.49493056,-102.2250806
42-003476970000,32.45793611,-102.2132139,32.48126111,-102.2193306
42-003477000000,32.43154542,-102.3098397,32.40353499,-102.3005782
42-003477020000,32.28242222,-102.2994025,32.309868,-102.308157
42-003477030000,32.282555,-102.2994444,32.30987861,-102.3080758
42-003477040000,32.13380062,-102.2145661,32.16256705,-102.223052
42-003477050000,32.13414833,-102.21307,32.16307566,-102.2217321
42-003477070000,32.13417722,-102.2129458,32.16319233,-102.2211313
42-003477120000,32.13377256,-102.2146878,32.16252177,-102.2232798
42-003477130000,32.444975,-102.3716083,32.4646613,-102.3771006
42-003477160000,32.185538,-102.262315,32.157258,-102.25607
42-003477170000,32.185571,-102.262175,32.157205,-102.256009
42-003477180000,32.185603,-102.262034,32.157189,-102.256042
42-003477190000,32.187262,-102.262916,32.157255,-102.253917
42-003477200000,32.187295,-102.262776,32.15723,-102.253974
42-003477210000,32.187327,-102.262635,32.18734292,-102.2626035
42-003477220000,32.189228,-102.259608,32.157717,-102.251755
42-003477230000,32.189261,-102.259467,32.157703,-102.251878
42-003477240000,32.189293,-102.259327,32.18478793,-102.2601912
42-003477250000,32.189601,-102.261435,32.157534,-102.252827
42-003477260000,32.189568,-102.261576,32.157585,-102.252817
42-003477520000,32.25498472,-102.2898717,32.281541,-102.299144
42-003477530000,32.25505111,-102.2898925,32.28166428,-102.2992368
42-003477540000,32.354497,-102.236477,32.384783,-102.246118
42-003477550000,32.354549,-102.236345,32.385426,-102.243294
42-003477610000,32.218642,-102.274194,32.254848,-102.284673
42-003477620000,32.218609,-102.274334,32.254336,-102.286765
42-003477650000,32.39801667,-102.2895333,32.3766203,-102.2835958
42-003477660000,32.39804722,-102.2894444,32.3768664,-102.2825799
42-003477670000,32.39807778,-102.2893528,32.37703889,-102.2815639
42-003477870000,32.25478583,-102.2898086,32.25474572,-102.2899836
42-003477880000,32.25485194,-102.2898297,32.23279696,-102.2836977
42-003477890000,32.25491833,-102.2898506,32.24539648,-102.2877156
42-003478140000,32.44511667,-102.2275361,32.42126389,-102.2195667
42-003478150000,32.44513889,-102.2274417,32.42143889,-102.2187083
42-003478170000,32.44515833,-102.22735,32.42171111,-102.2178694
42-003478180000,32.44509444,-102.2276306,32.42086944,-102.2212889
42-003478320000,32.39772778,-102.2942611,32.37517222,-102.2896778
42-003478330000,32.39775,-102.2941667,32.37560833,-102.2876917
42-003478350000,32.39776944,-102.2940722,32.37611667,-102.2856417
42-003478570000,32.40325833,-102.3040972,32.37453333,-102.2916806
42-003478580000,32.4032362,-102.3041909,32.3742164,-102.2937746
42-003478590000,32.40321389,-102.3042861,32.37396944,-102.2958444
42-003478600000,32.40319167,-102.3043806,32.37359167,-102.29805
42-003478790000,32.35008139,-102.2672133,32.32209667,-102.2585657
42-003478800000,32.35021444,-102.2672547,32.37791534,-102.275941
42-003479390000,32.25437778,-102.225575,32.22523056,-102.2163083
42-003479400000,32.2543466,-102.2257146,32.2249838,-102.2169037
42-003479410000,32.25431389,-102.2258556,32.22491944,-102.2170722
42-003479420000,32.254975,-102.2229583,32.22583889,-102.21275
42-003479430000,32.25494444,-102.2231,32.225575,-102.2140389
42-003479440000,32.2549116,-102.2232398,32.2255108,-102.2142377
42-003479450000,32.25488056,-102.2233806,32.22549167,-102.2142472
42-003479460000,32.25541667,-102.21965,32.226325,-102.2106444
42-003479470000,32.25538611,-102.2197917,32.22615,-102.2113528
42-003479480000,32.2553537,-102.2199316,32.2261416,-102.2114309
42-003479490000,32.25532222,-102.2200722,32.22613056,-102.2114306
42-003479550000,32.47488611,-102.2218472,32.44582222,-102.2126611
42-003479560000,32.47496389,-102.2218722,32.44501667,-102.214175
42-003479930000,32.45647222,-102.2163361,32.49409167,-102.2293083
42-003479950000,32.4564951,-102.2162425,32.4945324,-102.2271925
42-003479960000,32.45651667,-102.21615,32.49536111,-102.223575
42-003480070000,32.288985,-102.265053,32.317714,-102.275723
42-003480120000,32.289049,-102.264804,32.317932,-102.274936
42-003480140000,32.289014,-102.264927,32.317831,-102.275239
42-003480150000,32.289077,-102.264679,32.318059,-102.274246
42-003480160000,32.289572,-102.262826,32.318207,-102.27358
42-003480260000,32.289659,-102.26245,32.319116,-102.269815
42-003480270000,32.28963,-102.262577,32.318891,-102.270344
42-003480280000,32.289601,-102.262702,32.318586,-102.272002
42-003480380000,32.43100216,-102.3118339,32.40301739,-102.301102
42-003480970000,32.4309855,-102.3119117,32.40252576,-102.3038687
42-003480980000,32.43096883,-102.3119895,32.40193691,-102.3066214
42-003480990000,32.140719,-102.233645,32.11473804,-102.2252327
42-003481000000,32.140611,-102.233607,32.102729,-102.221553
42-003481010000,32.38650556,-102.2120444,32.41377222,-102.2190583
42-003481020000,32.38648611,-102.2121222,32.413625,-102.2197056
42-003481030000,32.38646944,-102.2122,32.41352222,-102.2201833
42-003481060000,32.38645,-102.2122778,32.41331667,-102.2210417
42-003481070000,32.38643333,-102.2123556,32.41313056,-102.2217972
42-003481080000,32.38641667,-102.2124361,32.41306667,-102.22205
42-003481150000,32.350015,-102.261593,32.379104,-102.270922
42-003481160000,32.350029,-102.261531,32.379467,-102.269314
42-003481170000,32.350043,-102.261468,32.36424323,-102.2627503
42-003481190000,32.361309,-102.22119,32.332603,-102.212644
42-003481290000,32.38508333,-102.2160028,32.41286111,-102.2230028
42-003481300000,32.38506667,-102.2160833,32.41279444,-102.2231972
42-003481310000,32.38504722,-102.2161611,32.41266944,-102.223825
42-003481320000,32.38503056,-102.2162389,32.41263056,-102.2240361
42-003481330000,32.38501111,-102.2163167,32.4124,-102.2249639
42-003481340000,32.361331,-102.221097,32.333197,-102.21007
42-003481350000,32.38499444,-102.2163944,32.412275,-102.225475
42-003481360000,32.384975,-102.2164722,32.41217778,-102.2259667
42-003481370000,32.361352,-102.221003,32.333741,-102.207664
42-003481380000,32.38495833,-102.2165528,32.41194722,-102.2269972
42-003481390000,32.38428611,-102.2194917,32.40519444,-102.2259194
42-003481400000,32.38426944,-102.2195694,32.39961488,-102.2241486
42-003481410000,32.38425,-102.2196472,32.41148611,-102.2290278
42-003481420000,32.384233,-102.219727,32.41148611,-102.2290528
42-003481430000,32.384216,-102.219805,32.41130278,-102.2298306
42-003481440000,32.38419722,-102.2198833,32.41127778,-102.2299194
42-003481450000,32.38517222,-102.2116389,32.35068056,-102.1985389
42-003481460000,32.38515556,-102.2117167,32.35050556,-102.1993667
42-003481470000,32.38511944,-102.2118722,32.35023333,-102.2004889
42-003481480000,32.38513889,-102.2117944,32.35028889,-102.2002278
42-003481490000,32.38508333,-102.2120278,32.35000278,-102.2014806
42-003481500000,32.38506667,-102.2121083,32.34999444,-102.2015389
42-003481590000,32.410376,-102.271208,32.381238,-102.264115
42-003481600000,32.41044,-102.270926,32.382377,-102.259138
42-003481610000,32.410408,-102.271067,32.381826,-102.261523
42-003481630000,32.424661,-102.267446,32.452488,-102.278657
42-003481640000,32.424683,-102.267353,32.453149,-102.27577
42-003481650000,32.424704,-102.267259,32.453817,-102.272864
42-003481660000,32.425087,-102.265585,32.452493,-102.278634
42-003481670000,32.425109,-102.265491,32.453155,-102.275752
42-003481680000,32.42513,-102.265397,32.453809,-102.272882
42-003481690000,32.423411,-102.265817,32.452477,-102.278716
42-003481700000,32.423433,-102.265723,32.453128,-102.275865
42-003481710000,32.423454,-102.265629,32.453798,-102.272946
42-003481740000,32.38510278,-102.21195,32.35007222,-102.2012472
42-003481770000,32.194005,-102.231593,32.16323,-102.222481
42-003481780000,32.194033,-102.231469,32.163467,-102.22143
42-003481790000,32.194062,-102.231344,32.163668,-102.220452
42-003481800000,32.19268,-102.228395,32.164039,-102.218619
42-003481810000,32.192915,-102.234684,32.16274,-102.224551
42-003481820000,32.192708,-102.228268,32.164141,-102.218177
42-003481830000,32.192886,-102.234809,32.16228544,-102.2266253
42-003481850000,32.40836,-102.270506,32.38109,-102.264731
42-003481860000,32.408392,-102.270365,32.381843,-102.261454
42-003481870000,32.408424,-102.270224,32.382504,-102.258567
42-003481970000,32.190097,-102.255239,32.158242,-102.24496
42-003481980000,32.19007,-102.255365,32.157581,-102.247756
42-003481990000,32.190125,-102.255114,32.158844,-102.242158
42-003482000000,32.191072,-102.248438,32.160064,-102.236517
42-003482010000,32.191043,-102.248564,32.159464,-102.239217
42-003482030000,32.38519167,-102.2115611,32.35073611,-102.1983083
42-003482060000,32.229369,-102.257024,32.258565,-102.266505
42-003482070000,32.2294,-102.256899,32.259086,-102.264355
42-003482080000,32.229429,-102.256774,32.259053,-102.264365
42-003482090000,32.229457,-102.256649,32.25909,-102.264343
42-003482100000,32.229182,-102.259307,32.258112,-102.268589
42-003482110000,32.229211,-102.259183,32.258347,-102.267594
42-003482120000,32.22924,-102.259058,32.25833,-102.267659
42-003482130000,32.226727,-102.260979,32.257648,-102.270601
42-003482140000,32.226698,-102.261103,32.257665,-102.27052
42-003482150000,32.22667,-102.261228,32.257611,-102.270701
42-003482160000,32.226757,-102.260854,32.257845,-102.269535
42-003482170000,32.4521081,-102.3537564,32.4225438,-102.3452953
42-003482180000,32.4459452,-102.3798517,32.4167772,-102.3705083
42-003482230000,32.38386667,-102.2151,32.34977222,-102.2025306
42-003482300000,32.38302778,-102.2187722,32.34881389,-102.2066889
42-003482310000,32.383741,-102.215648,32.34886667,-102.2064778
42-003482320000,32.38375833,-102.2155694,32.34904444,-102.2057306
42-003482330000,32.38377778,-102.2154917,32.34924167,-102.204825
42-003482340000,32.38379444,-102.2154139,32.34926667,-102.2047333
42-003482350000,32.38381111,-102.2153361,32.349297,-102.204552
42-003482360000,32.38383056,-102.2152583,32.34952778,-102.2036
42-003482370000,32.38384722,-102.2151778,32.34964722,-102.2030944
42-003482500000,32.41584001,-102.3142681,32.3866726,-102.3049718
42-003482510000,32.41580402,-102.3144251,32.386242,-102.3078738
42-003482520000,32.41449509,-102.320134,32.38565361,-102.3105354
42-003482540000,32.41582201,-102.3143471,,
42-003482550000,32.41451309,-102.320056,32.38582016,-102.3086779
42-135401930100,31.78881389,-102.2895222,31.7955387,-102.2892508
42-135413420000,31.68881617,-102.3089156,31.67594766,-102.3047877
42-135413430000,31.7569068,-102.3351143,31.74519856,-102.3313581
42-135418200000,31.95798056,-102.3154528,31.94541809,-102.3114606
42-135421470000,31.66736801,-102.2932536,31.68978318,-102.3003929
42-135421490000,31.70043539,-102.3302559,31.71249759,-102.3341127
42-135421520000,31.9604581,-102.3032373,31.97501021,-102.3080255
42-135422090000,31.679085,-102.3102544,31.70052801,-102.3170319
42-135423690000,31.72254721,-102.3553025,31.70930531,-102.3511252
42-135423720000,31.7376,-102.3607806,31.75090499,-102.3643683
42-135424270000,31.74339923,-102.3355551,31.77065297,-102.3435882
