pad_id,Actual,Predicted
42-317-41863,327.0,286.3070586048273
42-003-47462,528.0,342.70032736574245
42-173-38031,327.0,428.76353470768004
42-317-41279,586.0,418.67685719218224
42-461-41288,265.0,428.07341044143953
42-173-38102,187.0,277.3674235507928
42-461-38643,145.0,191.47271804267683
42-461-39465,321.0,217.55994254518006
42-461-40452,180.0,312.74784256088105
42-317-41842,376.0,398.5773783294502
42-329-41720,314.0,369.1087041704838
42-329-42788,259.3333333333333,268.25570793640316
42-003-47942,427.0,405.7661068920685
42-329-40493,331.0,356.4587527987967
42-173-37345,147.0,209.6928122874761
42-317-40089,125.0,271.08586930687017
42-329-41733,240.0,204.68340573110515
42-329-40368,167.0,250.936052615952
42-317-41577,407.0,363.2383159115147
42-461-40502,502.0,370.6929234118605
42-329-39536,263.0,296.20139910805045
42-461-40958,149.0,250.68863808867698
42-329-41877,320.6666666666667,359.5323314253682
42-383-40526,165.0,389.03747315907475
42-383-40327,119.5,213.68511090503497
42-461-40108,492.0,389.08342905080997
42-329-40707,308.0,241.8099846545555
42-227-38918,377.0,270.6959923359546
42-329-42624,459.5,387.6524026069256
42-317-41702,361.0,307.8221061749812
42-317-40482,159.0,277.77232105647784
42-329-39631,287.0,380.32044236411235
42-383-40028,291.0,464.26469207008057
42-329-39302,371.0,352.48119055496966
42-317-41287,226.0,311.89537745465447
42-173-36272,265.0,271.0218436586216
42-329-40443,370.3333333333333,364.5716408504809
42-329-43203,298.0,421.5870460870475
42-329-40122,322.5,313.92911113755645
42-329-42855,575.0,456.17862645787875
42-227-39171,248.0,407.3881277457731
42-461-40446,350.3333333333333,407.3288973105893
42-461-39125,139.0,241.5458066661
42-317-40715,180.0,214.41307586681046
42-383-39315,192.33333333333334,317.6884295329965
42-383-40114,409.5,421.5588064436915
42-329-41876,228.0,368.83678439876593
42-227-39807,290.0,370.7920093412791
42-383-39810,233.0,338.25030587012196
42-329-40433,234.5,314.0050245129492
42-317-41238,341.0,281.2124115900541
42-173-38116,553.0,409.5523622766586
42-227-39718,377.0,259.10573766355196
42-383-40245,218.0,406.56007130578513
42-173-36451,160.0,209.7488170447087
42-173-37305,207.0,215.3183559046143
42-329-40542,188.0,194.6724393834618
42-317-41124,399.5,454.53600249340667
42-317-39954,305.0,246.25823668897823
42-383-37660,168.0,272.45110254958695
42-003-47767,385.0,269.1804475896783
42-461-41036,317.0,311.37564151363216
42-227-38697,309.0,242.15571413401437
42-227-40081,274.0,339.01341709239
42-329-41893,470.0,408.7273948065654
42-461-39870,242.0,199.53635879652316
42-383-39766,438.0,414.31836392815615
42-329-40815,526.0,396.6040557097213
42-461-40797,677.0,428.8463267406427
42-227-39650,181.0,291.32334710322743
42-227-38434,320.5,355.4759014019797
42-317-40472,215.0,427.2172009056221
42-329-41703,217.66666666666666,261.15823408907323
42-461-40016,564.0,456.17862645787875
42-227-40462,732.0,428.76353470768004
42-329-39344,243.0,207.60946234999858
42-329-42778,382.0,273.0101479256457
42-329-42764,335.0,418.9778205957253
42-317-40799,482.0,376.79934620467026
42-461-40308,517.0,429.88029240534394
42-003-47293,428.6666666666667,387.3561789476824
42-227-38732,189.0,283.6230461939018
42-329-40366,413.0,365.9341123875018
42-383-40537,207.0,425.5316584256827
42-461-40308,557.0,458.948568182244
42-317-40957,135.5,273.1142098024075
42-173-36188,238.0,237.45902339245777
42-227-39076,228.0,305.3392617570126
42-227-39713,291.0,359.35858677320067
42-461-41260,396.0,386.93710883860666
42-329-40463,267.5,309.9964498723093
42-317-42196,243.0,335.90340433354794
42-317-40614,208.0,237.71952108250605
42-173-37613,302.0,365.57007865268264
42-317-41346,361.5,405.71693757605317
42-317-40823,199.0,312.0617762599703
42-461-40212,339.0,269.4189271823851
42-317-41910,664.0,420.43561281571635
42-317-39274,232.0,314.1369222246398
42-329-41836,268.0,327.91414184597056
42-461-39768,347.0,395.2187425344702
42-461-41288,573.0,431.70644688188156
42-461-39018,262.0,293.4031593900132
42-383-38816,162.0,244.40954357275132
42-329-41097,325.0,250.96092154526738
42-329-39396,290.0,348.68436797986544
42-317-40669,179.0,221.23122786327593
42-227-39421,132.0,233.2474353177529
42-329-41351,388.5,332.7614036405574
42-383-40307,188.0,421.0335806616981
42-383-37798,223.0,362.00075925644126
42-383-39682,250.5,400.7247452551119
42-461-40060,286.0,214.54400045790774
42-227-39832,570.0,366.3227858556008
42-317-41781,453.0,424.2086018236572
42-227-39952,151.5,322.4475036233252
42-173-37968,565.0,399.42680454457496
42-317-41254,500.6666666666667,416.346767931871
42-461-38726,284.3333333333333,197.754172893686
42-329-40226,291.0,379.9330835974433
42-173-37448,279.0,287.3103406245227
42-003-47410,514.0,379.40764813712946
42-329-42621,424.5,325.3048531173732
